,NMOS width,PMOS width,Temperature,VDD,Switching point voltage high,Switching point voltage low
0,100,150,61.16063837,150,0.675741196,0.395087451
1,450,100,-44.84605086,100,0.764495313,0.313638091
2,450,850,-38.80042887,850,0.809301853,0.185624599
3,400,400,-11.85524209,400,0.740948379,0.217847183
4,450,700,46.55602912,700,0.798580945,0.230764717
5,50,450,6.597518748,450,0.608133972,0.233041763
6,50,750,-49.93387094,750,0.600526631,0.191367865
7,500,400,7.437478494,400,0.832506359,0.308180183
8,150,800,0.062082425,800,0.709399998,0.260658801
9,300,450,-22.09425713,450,0.726737976,0.233062655
10,300,250,19.436871,250,0.695475936,0.23361598
11,450,200,19.51652072,200,0.781698644,0.305156201
12,500,50,93.48626287,50,0.804579854,0.388033509
13,250,1000,84.17929695,1000,0.690045774,0.152701721
14,100,50,124.3760428,50,0.666288376,0.386833966
15,450,400,85.03489347,400,0.828098893,0.314096272
16,400,700,88.46383057,700,0.808446646,0.253551096
17,350,600,-20.37006473,600,0.80907166,0.260412276
18,350,250,43.6033254,250,0.77140981,0.334507525
19,400,200,95.52580492,200,0.787174284,0.343664646
20,500,750,31.25481552,750,0.80948323,0.204040647
21,450,200,-14.55261223,200,0.806687117,0.337438613
22,150,350,14.54708268,350,0.674340963,0.275976479
23,450,950,120.3049733,950,0.789845526,0.187693059
24,150,950,138.7014342,950,0.63149184,0.160050482
25,500,550,85.13220929,550,0.848175049,0.308065653
26,50,100,125.4651428,100,0.626407146,0.386893272
27,50,900,-42.93423667,900,0.607182026,0.167805284
28,150,750,-32.90845221,750,0.721595883,0.241743922
29,50,400,76.91610088,400,0.617570102,0.285416722
30,300,500,91.02929458,500,0.771480083,0.301864773
31,500,950,-58.59505679,950,0.769414425,0.169603944
32,250,400,75.35356132,400,0.673431814,0.217648238
33,450,200,-20.60335729,200,0.762386739,0.258415222
34,300,900,1.978744465,900,0.721904159,0.147604138
35,400,450,88.77900038,450,0.768618047,0.253071666
36,500,950,126.4360386,950,0.82085681,0.207347691
37,400,950,118.6011684,950,0.79869163,0.216144413
38,300,850,51.38323034,850,0.714148879,0.194070876
39,500,450,-7.618264895,450,0.838245749,0.300311625
40,200,700,13.86573278,700,0.713276386,0.246383294
41,450,650,102.1995303,650,0.828043461,0.279510438
42,100,650,19.56070146,650,0.662969768,0.23305209
43,300,600,-20.90721503,600,0.722594976,0.212090477
44,100,800,-8.505205055,800,0.663007319,0.204118088
45,450,400,-20.50276186,400,0.806597352,0.313196361
46,300,400,1.527901085,400,0.777011275,0.314122647
47,150,750,89.1512608,750,0.722513974,0.253249198
48,400,50,15.51884856,50,0.709112406,0.307875901
49,500,250,-53.85977932,250,0.820112288,0.334992647
50,100,600,41.60844826,600,0.663727164,0.258536816
51,400,400,108.8210447,400,0.801238,0.329721183
52,450,800,41.65703737,800,0.838462114,0.260617465
53,250,700,45.83621652,700,0.736319542,0.23295483
54,200,250,65.48950086,250,0.709041417,0.343674958
55,100,1000,-49.82731178,1000,0.691805482,0.208285555
56,200,700,-46.30561891,700,0.674434841,0.162048548
57,100,350,23.89995326,350,0.647133291,0.313085765
58,500,800,-57.14708781,800,0.777232885,0.162219867
59,250,400,6.589093739,400,0.696695566,0.230628431
60,300,300,-38.26031223,300,0.713171482,0.233843148
61,150,50,8.858257371,50,0.653944731,0.352870643
62,150,800,56.51390462,800,0.701337099,0.241498828
63,200,700,39.73387404,700,0.734279037,0.258614063
64,350,550,110.8466228,550,0.787191987,0.275944531
65,250,50,54.9725479,50,0.721727014,0.363856375
66,200,600,21.18523602,600,0.709454536,0.258596033
67,300,300,12.43031142,300,0.726758003,0.275904238
68,100,500,56.17304311,500,0.635681629,0.244610742
69,250,900,-35.84745596,900,0.709523857,0.201406389
70,350,50,-23.77585768,50,0.717733741,0.33427918
71,350,200,45.54720555,200,0.798740029,0.381827056
72,350,900,121.1536607,900,0.773507059,0.205487937
73,50,400,20.38449449,400,0.614070058,0.279364228
74,300,800,-49.37261734,800,0.772364676,0.21650286
75,150,500,15.18320248,500,0.666317821,0.203865111
76,450,200,136.8988123,200,0.813737392,0.364042252
77,400,500,88.93772176,500,0.760361433,0.258520067
78,150,150,40.23676338,150,0.721641362,0.387127608
79,200,250,-17.93893952,250,0.70582515,0.334848821
80,300,850,63.44262397,850,0.771548271,0.217994601
81,400,200,-43.68985171,200,0.807877362,0.381978035
82,500,300,111.8798455,300,0.753155768,0.258230031
83,100,250,133.0835819,250,0.649572909,0.334374011
84,100,350,77.88224459,350,0.607156754,0.228893518
85,300,900,35.48231811,900,0.735131443,0.1897493
86,350,50,71.9757927,50,0.696792483,0.299833924
87,500,700,-53.29488898,700,0.787113845,0.189879656
88,450,300,12.78007727,300,0.769279301,0.279312998
89,50,450,-55.42415852,450,0.601387918,0.188027501
90,300,350,39.6928931,350,0.768382132,0.332264155
91,50,350,0.321211822,350,0.613172174,0.277740598
92,250,50,119.1863487,50,0.740813911,0.399352759
93,200,50,16.6165617,50,0.701196074,0.381494671
94,450,100,-36.05242946,100,0.800942421,0.387274146
95,100,700,134.7656096,700,0.628605306,0.207201734
96,250,800,55.39516038,800,0.768472075,0.229149371
97,450,400,-40.29414007,400,0.827833533,0.300264716
98,350,200,125.5738029,200,0.773363411,0.367126942
99,100,200,54.15264471,200,0.672154725,0.381753385
100,250,100,83.12834455,100,0.721819758,0.343436718
101,100,650,-54.30737044,650,0.691681743,0.267088741
102,350,900,101.5940619,900,0.756133318,0.21614404
103,300,450,-37.1784385,450,0.709018648,0.220667988
104,150,900,95.72750059,900,0.68988657,0.207805261
105,100,800,22.39626365,800,0.699838758,0.244905755
106,300,850,96.71688083,850,0.74027586,0.203960583
107,100,350,117.3391175,350,0.673051119,0.336224198
108,350,400,104.5247073,400,0.709307432,0.244513646
109,500,650,68.77369,650,0.78976661,0.207300186
110,100,50,70.87311095,50,0.608593106,0.329275131
111,400,100,127.6307355,100,0.714177847,0.304884434
112,300,900,28.20508926,900,0.714597344,0.201279968
113,100,450,-56.87980721,450,0.652254641,0.260691255
114,100,100,38.63927887,100,0.674284697,0.414212644
115,50,900,42.52902559,900,0.617639482,0.195207119
116,450,500,-9.54066974,500,0.760256529,0.217957348
117,350,450,-7.476842239,450,0.740858555,0.248374671
118,50,550,13.71137583,550,0.604502082,0.203332633
119,300,650,45.96197657,650,0.71786797,0.220476002
120,50,800,2.145931272,800,0.612152934,0.193929195
121,300,250,72.37571198,250,0.769135952,0.344623297
122,450,550,70.46804502,550,0.771669865,0.230673999
123,150,750,72.2637908,750,0.654148459,0.187745839
124,150,250,-19.56900824,250,0.653981566,0.279293001
125,100,1000,-22.62080346,1000,0.654852629,0.201393828
126,150,850,37.43394781,850,0.654166281,0.186742753
127,450,250,74.06632909,250,0.76257211,0.279018253
128,50,950,76.88923325,950,0.664933205,0.211086065
129,100,450,-17.12868244,450,0.635615528,0.248437181
130,150,500,-25.88907155,500,0.721559286,0.285754055
131,300,200,-57.15386723,200,0.776702881,0.371515125
132,400,700,-13.50416249,700,0.735101998,0.179131314
133,200,200,31.27910265,200,0.711701274,0.337211102
134,300,550,49.06870362,550,0.740157962,0.260403752
135,300,300,59.47926874,300,0.692060351,0.248194084
136,500,400,-45.19192827,400,0.797412157,0.266734004
137,350,50,-26.62960811,50,0.709417701,0.319217026
138,200,750,-29.580513,750,0.701320589,0.195328087
139,500,800,44.46700847,800,0.854736686,0.244932517
140,100,250,50.4513374,250,0.607112288,0.252994806
141,450,200,-29.2222378,200,0.762353659,0.260277808
142,300,600,-24.51434434,600,0.769029677,0.253459364
143,250,700,-55.90673387,700,0.713881493,0.18812567
144,50,150,128.7955243,150,0.591210604,0.301420391
145,50,650,127.9760725,650,0.617574573,0.228952914
146,400,650,30.94382397,650,0.787168384,0.246331587
147,50,800,0.530473294,800,0.627233386,0.211299121
148,100,100,15.91728698,100,0.62578243,0.313446224
149,300,250,-56.69781662,250,0.717603862,0.259979904
150,350,350,-13.91218306,350,0.798069,0.31412828
151,500,850,131.915509,850,0.759729505,0.194038078
152,250,600,-55.67012201,600,0.713185191,0.203540877
153,300,950,47.28316522,950,0.781718671,0.218054861
154,150,950,27.98602613,950,0.675971746,0.201284558
155,50,400,86.84357356,400,0.597514451,0.260181636
156,150,150,0.048665231,150,0.653968215,0.322939187
157,150,50,3.165720885,50,0.675598562,0.367935151
158,300,200,-29.62781186,200,0.712882876,0.310878158
159,250,350,103.2602447,350,0.663915396,0.248178214
160,200,550,-40.82550839,550,0.726552367,0.260411143
161,250,900,132.7535826,900,0.769431531,0.244795814
162,400,150,45.84422901,150,0.80494833,0.392192841
163,200,250,125.7753389,250,0.654874742,0.279123187
164,150,600,50.79524408,600,0.649807155,0.185283154
165,300,750,23.30707675,750,0.763019443,0.2308411
166,450,950,-18.16130255,950,0.832584321,0.204257295
167,450,150,82.03856197,150,0.804523528,0.371265501
168,250,500,114.7546683,500,0.695556164,0.232787877
169,350,300,37.32512626,300,0.711869121,0.233663917
170,200,300,4.413490832,300,0.709121466,0.308195621
171,450,100,29.02671149,100,0.781688929,0.346906275
172,400,250,83.81014833,250,0.773425698,0.329583764
173,400,250,76.37365045,250,0.717940509,0.253319621
174,250,450,104.1558799,450,0.763014615,0.314063251
175,300,150,24.60906777,150,0.722539067,0.312882781
176,150,50,103.7078908,50,0.627226472,0.337112725
177,200,350,13.70882031,350,0.686295271,0.262728363
178,350,750,51.26767614,750,0.736465454,0.185318053
179,200,300,29.87411849,300,0.700005591,0.275874585
180,450,100,-42.67027858,100,0.762789845,0.294845283
181,50,300,-39.79196587,300,0.601367235,0.233818486
182,250,150,25.30553307,150,0.686348379,0.276684225
183,150,800,51.35569139,800,0.663103163,0.195134863
184,350,750,-53.38506066,750,0.663103163,0.195134863
185,400,900,117.3264055,900,0.801323593,0.24150303
186,450,550,113.8171247,550,0.807010412,0.253437698
187,350,550,85.58232166,550,0.802210867,0.310997963
188,250,600,-13.39401849,600,0.762199104,0.260571331
189,250,900,56.67596564,900,0.709301829,0.179162055
190,300,250,113.6223165,250,0.692087889,0.260110468
191,450,1000,74.85191641,1000,0.777522445,0.186720029
192,50,300,93.48819805,300,0.628529131,0.344189435
193,450,700,55.96676985,700,0.772827744,0.203204945
194,300,900,-35.38926968,900,0.793808639,0.218318462
195,350,1000,62.05980327,1000,0.768677354,0.194145158
196,100,250,10.52499156,250,0.663635254,0.332580566
197,100,800,137.6641342,800,0.614245296,0.193882033
198,450,750,-22.88085934,750,0.808302402,0.231034368
199,500,500,109.6721798,500,0.777502,0.244616598
200,150,300,32.33547015,300,0.663028896,0.279181987
201,150,400,-48.96210113,400,0.65396136,0.217903733
202,500,900,106.6504116,900,0.824672461,0.217927918
203,500,800,63.28251096,800,0.825656891,0.246307701
204,350,350,114.5590822,350,0.735117972,0.276733547
205,300,500,32.71537332,500,0.765769601,0.253602296
206,350,950,115.3454752,950,0.773533821,0.216144472
207,50,650,-13.39185255,650,0.600523412,0.195148647
208,100,800,59.41889924,800,0.689741671,0.233948275
209,500,950,108.4079351,950,0.80715996,0.185246706
210,300,200,30.57648538,200,0.759094298,0.337467015
211,450,350,48.83281102,350,0.794109225,0.30177182
212,450,900,126.5154955,900,0.801378489,0.207316697
213,250,450,121.2455329,450,0.75932765,0.334581107
214,500,100,80.54322255,100,0.80695194,0.367039353
215,300,800,77.71874169,800,0.695663929,0.161862805
216,100,500,-35.72319489,500,0.689494789,0.313418716
217,300,450,-59.79917613,450,0.759760261,0.276356816
218,200,950,90.11847376,950,0.762304723,0.245908424
219,450,1000,97.23008501,1000,0.753138065,0.173835009
220,100,500,131.8806042,500,0.665037096,0.253431916
221,100,700,109.3310992,700,0.635709405,0.205490738
222,100,600,116.2675039,600,0.652690113,0.260258764
223,300,700,-52.96124618,700,0.713314056,0.179203123
224,500,650,65.77964999,650,0.740434945,0.193949386
225,150,900,122.6684338,900,0.709326506,0.233857751
226,250,100,95.91586164,100,0.673332036,0.299599618
227,350,450,42.7129572,450,0.771453857,0.27941674
228,500,50,31.03550935,50,0.787202239,0.34434852
229,250,800,-33.92254306,800,0.764686227,0.248667434
230,500,700,-59.20410272,700,0.814219713,0.21144104
231,250,600,-22.44599224,600,0.701370835,0.195186049
232,150,150,57.47407002,150,0.691826284,0.368025303
233,400,500,9.456619652,500,0.71456784,0.185307682
234,400,150,-46.72412247,150,0.717720687,0.260110706
235,250,700,52.61669306,700,0.709214747,0.205572724
236,200,350,62.30466021,350,0.706038833,0.323058367
237,50,250,102.1537038,250,0.664914966,0.367180407
238,250,750,105.3113912,750,0.722666204,0.203924581
239,400,50,-52.51928905,50,0.764350772,0.363970548
240,350,700,129.3746843,700,0.7133075,0.207720861
241,150,950,120.8684178,950,0.663917422,0.189627528
242,250,750,125.0695457,750,0.692152262,0.206636444
243,350,300,82.15092052,300,0.735076964,0.275818467
244,200,300,89.07898117,300,0.652593255,0.252972722
245,50,700,43.61799538,700,0.604547381,0.198955178
246,400,400,83.54114874,400,0.806769013,0.329770535
247,300,800,-21.38806091,800,0.772483408,0.207639232
248,450,600,48.21579438,600,0.80231601,0.233890325
249,150,750,27.91714998,750,0.666431785,0.20122923
250,450,100,18.63281375,100,0.714501798,0.253274888
251,100,750,137.1584332,750,0.613378286,0.185614258
252,350,800,-30.45991653,800,0.762378752,0.212186575
253,350,400,-12.12653255,400,0.793838382,0.319851279
254,50,900,-16.99857521,900,0.649596453,0.204228491
255,200,350,25.89923543,350,0.709383965,0.30529651
256,50,1000,90.02662088,1000,0.60141921,0.173688889
257,500,500,3.697704577,500,0.760370672,0.211114749
258,500,300,-46.69689159,300,0.76295948,0.217856944
259,200,650,88.30554752,650,0.726687193,0.253571332
260,450,800,52.14102058,800,0.76954186,0.185704112
261,100,950,-31.24627766,950,0.62732023,0.147742257
262,100,1000,91.26830244,1000,0.662995279,0.187757909
263,250,850,87.72627246,850,0.762405634,0.248326868
264,150,750,44.83747766,750,0.662518859,0.187794179
265,200,900,130.3017738,900,0.700765371,0.203146875
266,350,700,-22.95323863,700,0.797353208,0.260640442
267,250,650,14.50890359,650,0.740071535,0.260500133
268,500,350,103.347119,350,0.727076411,0.230482757
269,50,50,108.3152232,50,0.627198696,0.412127852
270,100,500,111.2111778,500,0.631352723,0.262591213
271,450,550,28.78400962,550,0.768645525,0.203929573
272,100,750,-0.52675055,750,0.691820443,0.260637462
273,150,250,45.02612075,250,0.721690059,0.364198059
274,350,200,59.99917475,200,0.802068591,0.377456099
275,500,650,114.8879343,650,0.766174018,0.191944659
276,500,150,-8.142285871,150,0.813473701,0.331263602
277,300,650,14.71548128,650,0.764498651,0.260467112
278,300,150,100.2430653,150,0.692060709,0.275627106
279,250,900,124.320294,900,0.726840436,0.203971282
280,50,300,-23.1228384,300,0.617530227,0.295150369
281,450,50,-30.76751652,50,0.769047678,0.331190735
282,450,650,25.19530475,650,0.802295268,0.248390719
283,450,700,108.228491,700,0.813846588,0.233832926
284,350,800,-19.55645292,800,0.765832722,0.195328623
285,50,150,37.10322495,150,0.612983942,0.337103724
286,400,950,79.92934833,950,0.738597214,0.161932111
287,350,750,60.63510069,750,0.709730625,0.193960607
288,300,950,91.37697612,950,0.722833395,0.161892027
289,200,650,68.12499239,650,0.686403215,0.20387204
290,350,650,95.48049347,650,0.80225724,0.279509276
291,50,1000,16.9830255,1000,0.613118649,0.16029346
292,450,250,130.7667172,250,0.765093684,0.319553852
293,200,250,67.43664855,250,0.695395827,0.327111304
294,250,750,-52.8637495,750,0.76549989,0.231092125
295,450,500,75.78422767,500,0.763258398,0.246153861
296,50,650,91.96280714,650,0.604374528,0.191933453
297,150,500,139.3077275,500,0.675929546,0.264226496
298,50,1000,-46.26536312,1000,0.657103539,0.208262295
299,150,250,-54.1653439,250,0.704378784,0.313916236
300,50,100,115.1870315,100,0.594721675,0.33594209
301,250,250,52.44035888,250,0.73617363,0.325054348
302,100,350,-39.86307671,350,0.663554668,0.319794953
303,350,50,25.04910988,50,0.734855592,0.336973041
304,200,1000,122.3297692,1000,0.709226847,0.195211828
305,100,500,-43.60913711,500,0.652326941,0.26975745
306,100,100,-23.226114,100,0.646203756,0.367196381
307,150,550,45.5216217,550,0.6637941,0.248341039
308,50,400,42.56146431,400,0.647132874,0.33756569
309,100,100,36.9501656,100,0.686104894,0.399433792
310,100,150,58.93824321,150,0.665067554,0.343503684
311,400,350,-53.59161249,350,0.771253288,0.26042065
312,450,100,91.14985875,100,0.71322763,0.312735796
313,250,800,10.6173385,800,0.695553124,0.161994517
314,300,800,-35.14501601,800,0.76870662,0.203514785
315,250,400,-42.20872166,400,0.712827027,0.26676169
316,500,600,-26.27910176,600,0.764970541,0.212088779
317,250,300,-54.78959417,300,0.765295208,0.329978138
318,50,850,63.53377537,850,0.626598597,0.21110335
319,250,650,106.311736,650,0.740166187,0.258599907
320,200,450,108.2817896,450,0.711694717,0.308043301
321,200,750,-0.948811565,750,0.713922262,0.241596967
322,250,550,17.5198084,550,0.70485884,0.192041099
323,250,850,-43.11805049,850,0.734223783,0.186032712
324,100,450,107.7385109,450,0.649601579,0.259904951
325,200,500,138.9895782,500,0.704849839,0.258456737
326,300,50,32.63894311,50,0.734783769,0.381529212
327,50,650,18.70639115,650,0.600560844,0.187837556
328,350,600,123.9694901,600,0.802239597,0.275995165
329,300,650,3.570953875,650,0.765762568,0.246376723
330,350,750,-13.12680534,750,0.726867378,0.201287076
331,50,300,92.63694135,300,0.604301512,0.279188991
332,350,400,-38.70753328,400,0.81349951,0.305606753
333,100,150,2.609549391,150,0.656851113,0.337199867
334,200,150,108.7812111,150,0.721817672,0.367958546
335,250,450,121.8815148,450,0.735046983,0.294895291
336,350,200,-15.05964174,200,0.755646944,0.344335288
337,150,700,0.244050836,700,0.673217475,0.18791002
338,450,500,-5.086194819,500,0.736428261,0.206739038
339,200,950,76.89641994,950,0.721822023,0.185714453
340,50,200,100.2458583,200,0.649508357,0.377372503
341,50,1000,1.059062203,1000,0.666313946,0.203431189
342,450,700,49.31798358,700,0.769051433,0.185709909
343,500,250,66.495351,250,0.838392854,0.356473923
344,350,1000,52.35413443,1000,0.798544049,0.204137966
345,500,450,89.26926009,450,0.794252872,0.25849548
346,100,750,93.03326995,750,0.679990649,0.269503564
347,150,700,-7.830204087,700,0.646595955,0.201261446
348,350,100,-30.06323897,100,0.71175456,0.279102683
349,450,950,35.95364468,950,0.802371085,0.18576102
350,150,750,-28.33338124,750,0.663786054,0.194049776
351,350,300,31.03346001,300,0.798215508,0.332602471
352,250,400,93.54330511,400,0.711793721,0.276810974
353,400,950,-8.853002056,950,0.76496923,0.162126184
354,150,550,105.0993869,550,0.635752082,0.21598193
355,100,550,0.394606048,550,0.66231817,0.260506868
356,150,650,66.76668058,650,0.662519991,0.205529973
357,500,950,-18.85336895,950,0.813748479,0.19424884
358,400,350,69.7062758,350,0.759403586,0.276803792
359,450,350,115.0690367,350,0.804692507,0.314014494
360,200,450,118.3964105,450,0.673274279,0.233632356
361,150,200,50.34292361,200,0.64980489,0.277461439
362,300,250,57.11750269,250,0.709318519,0.264241874
363,450,700,60.87200433,700,0.777447939,0.211022854
364,100,850,96.84360447,850,0.686256707,0.245935142
365,150,1000,-23.06313674,1000,0.709109068,0.186003357
366,50,650,136.7761257,650,0.59478718,0.207746431
367,350,200,22.04399082,200,0.740103841,0.332159877
368,200,850,115.4504211,850,0.695557237,0.192041114
369,300,200,104.4667784,200,0.726816893,0.336101919
370,150,200,55.69472346,200,0.686232686,0.332426727
371,500,700,-21.87199603,700,0.789583087,0.185886905
372,350,1000,116.8679507,1000,0.712020159,0.173769295
373,300,200,23.84405265,200,0.762725711,0.353068292
374,100,450,93.3219999,450,0.617645502,0.248232901
375,300,100,49.94446145,100,0.695456743,0.312802911
376,300,950,10.1283988,950,0.789457679,0.207631603
377,250,950,104.4143802,950,0.674687445,0.152699783
378,300,150,12.3481583,150,0.738030791,0.332443833
379,200,650,105.4259493,650,0.676006913,0.207758754
380,350,400,121.9466368,400,0.740249753,0.286307514
381,500,300,-20.44453012,300,0.847896099,0.325324327
382,50,600,98.76486757,600,0.617580593,0.244609103
383,250,400,28.0868095,400,0.689861655,0.217722803
384,100,450,-0.714190211,450,0.625868917,0.207327664
385,100,150,115.9255009,150,0.662923872,0.377305031
386,450,350,79.15094377,350,0.825449824,0.325142264
387,500,650,138.8335993,650,0.741247416,0.185163081
388,400,1000,-21.82822461,1000,0.77341944,0.179435521
389,150,50,45.51802222,50,0.721528351,0.431632221
390,150,400,14.58273749,400,0.631372809,0.216007754
391,300,850,-34.95097603,850,0.762936771,0.192408115
392,250,600,9.379331331,600,0.72179693,0.207929373
393,500,550,92.14257621,550,0.736619234,0.187626868
394,450,100,7.126986594,100,0.781630576,0.343501091
395,250,350,51.27066814,350,0.713003218,0.294945985
396,200,350,129.5086059,350,0.70483017,0.307968855
397,150,950,37.72931486,950,0.692020535,0.185805395
398,500,50,4.379777548,50,0.789443374,0.337199152
399,250,1000,83.19414462,1000,0.762435615,0.204044864
400,400,250,-21.80939108,250,0.734915674,0.244516626
401,500,350,-56.13126741,350,0.804853678,0.279399753
402,500,850,-22.77183304,850,0.789653778,0.201375216
403,300,900,93.67245687,900,0.771570206,0.207372949
404,350,250,-4.111516713,250,0.772371531,0.305281729
405,50,350,89.24766969,350,0.595625639,0.260129213
406,500,800,-31.68617509,800,0.854514003,0.248623103
407,300,250,13.23219832,250,0.721836448,0.260250598
408,150,450,31.17219461,450,0.631383061,0.203225672
409,300,150,89.04316926,150,0.773242116,0.377355665
410,150,650,38.67496597,650,0.722475171,0.253663421
411,150,750,-40.24748666,750,0.673252881,0.195275828
412,100,500,106.5182833,500,0.647202253,0.279335946
413,350,550,138.0672293,550,0.713285446,0.248205274
414,400,1000,-44.22029568,1000,0.764566958,0.16223526
415,100,300,51.75625096,300,0.674332082,0.34373486
416,400,1000,66.23812993,1000,0.766100705,0.161996245
417,350,200,0.000628485,200,0.764767885,0.329656482
418,50,950,-10.84350634,950,0.654686928,0.207694665
419,300,250,137.4534224,250,0.722612023,0.294740945
420,50,600,99.64306398,600,0.621028185,0.260318518
421,450,950,-42.66773358,950,0.798889995,0.201455802
422,150,200,-11.61646769,200,0.722181976,0.381886542
423,350,950,58.21879695,950,0.79765296,0.24159047
424,100,300,-39.95522206,300,0.63555342,0.25369662
425,350,150,50.93942748,150,0.798731923,0.382594913
426,150,500,108.2425606,500,0.647253752,0.232808769
427,350,900,42.03466476,900,0.797599077,0.248458058
428,300,50,-15.95637864,50,0.696541905,0.285003006
429,300,450,-21.16659231,450,0.771259189,0.276195824
430,350,700,17.49194464,700,0.736411691,0.18537876
431,450,500,40.13265436,500,0.764725447,0.229046926
432,200,50,78.40542207,50,0.726621509,0.422160149
433,300,850,48.08458493,850,0.772661448,0.218021378
434,100,650,-49.8815103,650,0.689528108,0.260824651
435,200,1000,-40.23951307,1000,0.72174257,0.162223518
436,450,600,28.05025797,600,0.806806147,0.258681387
437,350,250,43.26676863,250,0.709579945,0.253362477
438,400,200,83.73887525,200,0.7692976,0.334658504
439,400,600,15.68170391,600,0.765895903,0.203952253
440,400,50,-18.16283097,50,0.709534645,0.285037994
441,150,850,-56.91266025,850,0.673187196,0.160525978
442,300,600,4.20373625,600,0.726805985,0.21119757
443,200,100,-56.12325956,100,0.722094178,0.344523847
444,50,400,-36.01474673,400,0.612029493,0.233934522
445,100,700,-2.307537694,700,0.657094896,0.204082578
446,400,300,67.06798209,300,0.765892208,0.277454436
447,150,800,79.49874711,800,0.704816461,0.217907056
448,150,450,128.3392939,450,0.673161924,0.279292703
449,350,150,129.7224327,150,0.72691226,0.336033881
450,150,400,99.97316211,400,0.701253653,0.327174485
451,100,100,-59.3285244,100,0.646048903,0.337498009
452,300,100,-39.64322916,100,0.768067837,0.371239841
453,500,400,92.60663825,400,0.762670517,0.246100947
454,500,850,40.97851172,850,0.772907436,0.179222763
455,100,50,123.279168,50,0.635656118,0.393262863
456,100,600,135.4893236,600,0.625923157,0.217704207
457,50,950,-12.2534355,950,0.657182932,0.220723525
458,300,300,84.45201397,300,0.701484442,0.252985269
459,300,750,105.6933426,750,0.714620054,0.203157455
460,400,400,52.9432863,400,0.765923738,0.253107011
461,50,800,110.7473109,800,0.654661536,0.269485414
462,200,500,105.064912,500,0.663877547,0.23054418
463,300,500,41.30123081,500,0.704934716,0.185267985
464,200,100,63.68790798,100,0.704696715,0.337233722
465,300,900,-35.85859607,900,0.765717208,0.195418417
466,300,250,134.1914923,250,0.721903384,0.28527993
467,150,950,123.2414154,950,0.714513063,0.229056075
468,200,250,-32.21271906,250,0.701166749,0.301759839
469,100,300,75.39378147,300,0.601289034,0.232804999
470,250,850,33.60317465,850,0.752835274,0.207476228
471,150,50,-42.66622943,50,0.652175546,0.329414397
472,50,550,78.40570662,550,0.664895773,0.285565913
473,150,300,-31.86274955,300,0.700166464,0.334757715
474,100,600,117.4503519,600,0.647207856,0.269430608
475,200,450,-9.046859613,450,0.709350049,0.27616623
476,450,750,34.44560455,750,0.831893444,0.253344744
477,500,250,-11.20743275,250,0.764666915,0.259911031
478,100,950,-39.05608843,950,0.663019478,0.206194729
479,150,550,88.46597127,550,0.646661222,0.217740595
480,400,950,41.98498928,950,0.804755032,0.216279894
481,50,250,-13.91737622,250,0.664858103,0.356570423
482,350,600,137.0922596,600,0.752996087,0.233707637
483,500,100,53.48582478,100,0.794115067,0.337043911
484,250,850,38.51864643,850,0.762358665,0.218051717
485,400,500,70.73106325,500,0.768967986,0.23376137
